"relation_id","start_id","end_id","raw_relation_name","canonical_rel_name","canonical_rel_desc","rel_cls","rel_cls_group","rel_hint_type","confidence","resolution_context","justification","remark","evidence_excerpt","chunk_id","qualifiers","rel_desc"
"RelR_f9c619a8c66a","Can_bdfda4a6","Can_ce6366a6","undergoes_life_cycle","undergoes_biological_process","Links an organism or life stage to a biological process or life cycle it undergoes over time (e.g., life cycle, molting, life journey).","biological_process_participation_relation","BIOLOGICAL_PROCESS","process-membership","0.95","The text describes the life cycle as belonging to butterflies.","“Butterflies are fascinating creatures that undergo a remarkable transformation throughout their life cycle.”","","Butterflies are fascinating creatures that undergo a remarkable transformation throughout their life cycle.","Ch_000001","{
 ""TemporalQualifier"": null,
 ""SpatialQualifier"": null,
 ""OperationalConstraint"": null,
 ""ConditionExpression"": null,
 ""UncertaintyQualifier"": null,
 ""CausalHint"": ""undergo"",
 ""LogicalMarker"": null,
 ""OtherQualifier"": null
}","Butterflies undergo the butterfly life cycle as their developmental sequence."
"RelR_5cac4b7b5b1c","Can_ce6366a6","Can_c8ca5fed","has_stage","has_life_cycle_stage","Indicates that a life cycle concept includes a specific life-cycle stage as one of its constituent phases.","life_cycle_stage_relation","COMPOSITION","composition","0.97","Direction chosen as life cycle → stage (has_stage).","“The first stage of a butterfly's life cycle is the egg stage.”","Ordering captured in qualifier.","The first stage of a butterfly's life cycle is the egg stage.","Ch_000001","{
 ""TemporalQualifier"": ""first stage"",
 ""SpatialQualifier"": null,
 ""OperationalConstraint"": null,
 ""ConditionExpression"": null,
 ""UncertaintyQualifier"": null,
 ""CausalHint"": null,
 ""LogicalMarker"": null,
 ""OtherQualifier"": ""StageOrder: 1""
}","The butterfly life cycle includes the butterfly egg stage as its first stage."
"RelR_44dd2de1e93b","Can_ce6366a6","Can_2fd0c2d7","has_stage","has_life_cycle_stage","Indicates that a life cycle concept includes a specific life-cycle stage as one of its constituent phases.","life_cycle_stage_relation","COMPOSITION","composition","0.9","Direction life cycle → larval stage.","“From egg to larva to pupa to adult butterfly, this process is filled with wonder...”","Order relative to egg stage captured in separate relation.","From egg to larva to pupa to adult butterfly, this process is filled with wonder.","Ch_000001","{
 ""TemporalQualifier"": ""follows egg stage"",
 ""SpatialQualifier"": null,
 ""OperationalConstraint"": null,
 ""ConditionExpression"": null,
 ""UncertaintyQualifier"": null,
 ""CausalHint"": null,
 ""LogicalMarker"": ""from ... to"",
 ""OtherQualifier"": ""StageOrder: 2""
}","The butterfly life cycle includes the larval (caterpillar) stage."
"RelR_de57c4994296","Can_ce6366a6","Can_b3f789d8","has_stage","has_life_cycle_stage","Indicates that a life cycle concept includes a specific life-cycle stage as one of its constituent phases.","life_cycle_stage_relation","COMPOSITION","composition","0.9","Direction life cycle → pupal stage.","“From egg to larva to pupa to adult butterfly...”","Order relative to larval and adult stages captured separately.","From egg to larva to pupa to adult butterfly...","Ch_000001","{
 ""TemporalQualifier"": ""after larval stage, before adult stage"",
 ""SpatialQualifier"": null,
 ""OperationalConstraint"": null,
 ""ConditionExpression"": null,
 ""UncertaintyQualifier"": null,
 ""CausalHint"": null,
 ""LogicalMarker"": ""to"",
 ""OtherQualifier"": ""StageOrder: 3""
}","The butterfly life cycle includes the pupal (chrysalis) stage."
"RelR_8be4d555e098","Can_ce6366a6","Can_dd80a7cd","has_stage","has_life_cycle_stage","Indicates that a life cycle concept includes a specific life-cycle stage as one of its constituent phases.","life_cycle_stage_relation","COMPOSITION","composition","0.93","Direction life cycle → adult stage.","“From egg to larva to pupa to adult butterfly, this process is filled with wonder...”","Finality captured in qualifier.","From egg to larva to pupa to adult butterfly, this process is filled with wonder.","Ch_000001","{
 ""TemporalQualifier"": ""final stage"",
 ""SpatialQualifier"": null,
 ""OperationalConstraint"": null,
 ""ConditionExpression"": null,
 ""UncertaintyQualifier"": null,
 ""CausalHint"": null,
 ""LogicalMarker"": ""to"",
 ""OtherQualifier"": ""StageOrder: 4""
}","The butterfly life cycle includes the adult butterfly stage as the final stage."
"RelR_5f154296fbef","Can_c8ca5fed","Can_2fd0c2d7","precedes","precedes_in_life_cycle","The subject stage or process occurs earlier than the object stage within the butterfly life cycle or metamorphic sequence.","life_cycle_stage_sequence_relation","TEMPORALITY","temporal-order","0.96","Direction earlier stage → later stage.","“From egg to larva to pupa to adult butterfly...” implies egg stage comes before larval stage.","","From egg to larva to pupa to adult butterfly...","Ch_000001","{
 ""TemporalQualifier"": ""earlier in life cycle"",
 ""SpatialQualifier"": null,
 ""OperationalConstraint"": null,
 ""ConditionExpression"": null,
 ""UncertaintyQualifier"": null,
 ""CausalHint"": null,
 ""LogicalMarker"": ""from ... to"",
 ""OtherQualifier"": null
}","The butterfly egg stage occurs before the larval (caterpillar) stage."
"RelR_0ca09404b17e","Can_2fd0c2d7","Can_b3f789d8","precedes","precedes_in_life_cycle","The subject stage or process occurs earlier than the object stage within the butterfly life cycle or metamorphic sequence.","life_cycle_stage_sequence_relation","TEMPORALITY","temporal-order","0.96","Direction earlier stage → later stage.","“From egg to larva to pupa to adult butterfly...” places larva before pupa.","","From egg to larva to pupa to adult butterfly...","Ch_000001","{
 ""TemporalQualifier"": ""earlier in life cycle"",
 ""SpatialQualifier"": null,
 ""OperationalConstraint"": null,
 ""ConditionExpression"": null,
 ""UncertaintyQualifier"": null,
 ""CausalHint"": null,
 ""LogicalMarker"": ""to"",
 ""OtherQualifier"": null
}","The larval (caterpillar) stage occurs before the pupal (chrysalis) stage."
"RelR_6e77a6bd7252","Can_b3f789d8","Can_dd80a7cd","precedes","precedes_in_life_cycle","The subject stage or process occurs earlier than the object stage within the butterfly life cycle or metamorphic sequence.","life_cycle_stage_sequence_relation","TEMPORALITY","temporal-order","0.96","Direction earlier stage → later stage.","“From egg to larva to pupa to adult butterfly...” places pupa before adult.","","From egg to larva to pupa to adult butterfly...","Ch_000001","{
 ""TemporalQualifier"": ""earlier in life cycle"",
 ""SpatialQualifier"": null,
 ""OperationalConstraint"": null,
 ""ConditionExpression"": null,
 ""UncertaintyQualifier"": null,
 ""CausalHint"": null,
 ""LogicalMarker"": ""to"",
 ""OtherQualifier"": null
}","The pupal (chrysalis) stage occurs before the adult butterfly stage."
"RelR_e762eb0e3fbf","Can_35027170","Can_c8ca5fed","produces","initiates","Indicates that the subject action or entity starts or triggers the beginning of the object process, stage, or cycle.","causal_process_relation","CAUSALITY","reproductive","0.9","Direction parent (female butterflies) → offspring stage (egg stage).","“Female butterflies lay their eggs on specific host plants...”","Eggs correspond to butterfly egg stage in this context.","Female butterflies lay their eggs on specific host plants...","Ch_000001","{
 ""TemporalQualifier"": ""at start of life cycle"",
 ""SpatialQualifier"": null,
 ""OperationalConstraint"": null,
 ""ConditionExpression"": null,
 ""UncertaintyQualifier"": null,
 ""CausalHint"": ""lay"",
 ""LogicalMarker"": null,
 ""OtherQualifier"": null
}","Female butterflies lay eggs, initiating the butterfly egg stage."
"RelR_070113d93c60","Can_35027170","Can_a7f14ebe","uses_for_oviposition","lays_eggs_on","Subject organism deposits its eggs on the object, which serves as the oviposition site (egg-laying substrate).","oviposition_behavior_relation","USAGE","usage","0.96","Direction females → host plants to represent oviposition behavior.","“Female butterflies lay their eggs on specific host plants...”","Relation name chosen to emphasize oviposition usage.","Female butterflies lay their eggs on specific host plants...","Ch_000001","{
 ""TemporalQualifier"": ""during egg-laying"",
 ""SpatialQualifier"": ""on host plants"",
 ""OperationalConstraint"": ""specific host plants"",
 ""ConditionExpression"": null,
 ""UncertaintyQualifier"": null,
 ""CausalHint"": ""that"",
 ""LogicalMarker"": null,
 ""OtherQualifier"": null
}","Female butterflies use specific host plants as sites to lay their eggs."
"RelR_97a5feee3d70","Can_a7f14ebe","Can_2fd0c2d7","provides_food_for","is_food_source_for","Indicates that the subject serves as a primary or significant food resource for the object organism or life stage.","trophic_interaction_relation","INTERACTION","nutritional-support","0.98","Direction resource (host plants) → consumer (larval stage).","“host plants that will provide food for the emerging larvae.”","Larvae correspond to larval (caterpillar) stage.","host plants that will provide food for the emerging larvae.","Ch_000001","{
 ""TemporalQualifier"": ""after larvae emerge"",
 ""SpatialQualifier"": ""on or near host plants"",
 ""OperationalConstraint"": null,
 ""ConditionExpression"": null,
 ""UncertaintyQualifier"": ""will (future, but expected)"",
 ""CausalHint"": ""provide"",
 ""LogicalMarker"": null,
 ""OtherQualifier"": null
}","Host plants provide food for the larvae that emerge from the eggs."
"RelR_8c37f62f60bd","Can_c8ca5fed","Can_a7f14ebe","occurs_on","occurs_in_or_on_location","A biological stage, life stage, or process takes place within or on a specified physical location, substrate, or host organism.","biological_stage_or_process_location_relation","SPATIALITY","spatial-location","0.88","Direction stage → substrate/location.","“Female butterflies lay their eggs on specific host plants...” plus definition that eggs are laid on a host plant.","Stage-location relation inferred from combination of chunk and entity description.","Female butterflies lay their eggs on specific host plants that will provide food...","Ch_000001","{
 ""TemporalQualifier"": ""during egg stage"",
 ""SpatialQualifier"": ""on host plants"",
 ""OperationalConstraint"": ""specific host plants suitable as hosts"",
 ""ConditionExpression"": null,
 ""UncertaintyQualifier"": null,
 ""CausalHint"": ""on"",
 ""LogicalMarker"": null,
 ""OtherQualifier"": null
}","The butterfly egg stage occurs on host plants where eggs are laid."
"RelR_d039e7c0dc9c","Can_c8ca5fed","En_79d63365","occurs_on_surface_of","occurs_in_or_on_location","A biological stage, life stage, or process takes place within or on a specified physical location, substrate, or host organism.","biological_stage_or_process_location_relation","SPATIALITY","spatial","0.96","Direction chosen from life stage (egg) to its deposition location.","Text states eggs are usually laid on the underside of leaves.","","The eggs are usually laid on the underside of leaves to protect them from predators.","Ch_000002","{
 ""TemporalQualifier"": null,
 ""SpatialQualifier"": ""on the underside of leaves"",
 ""OperationalConstraint"": null,
 ""ConditionExpression"": ""usually laid there rather than elsewhere"",
 ""UncertaintyQualifier"": ""usually"",
 ""CausalHint"": null,
 ""LogicalMarker"": null,
 ""OtherQualifier"": ""Purpose: protection from predators""
}","Butterfly eggs in the egg stage are laid on the underside of leaves."
"RelR_90038cce3f44","En_79d63365","En_572416ff","is_part_of","is_part_of","Indicates that the subject is a constituent element, region, component, or process within the broader whole denoted by the object.","part_whole_relation","COMPOSITION","part-whole","0.9","Underside modeled as a substructure of the leaf.","Phrase 'underside of leaves' implies the underside is a part of leaves.","","The eggs are usually laid on the underside of leaves","Ch_000002","{
 ""TemporalQualifier"": null,
 ""SpatialQualifier"": ""on the lower surface of the leaf"",
 ""OperationalConstraint"": null,
 ""ConditionExpression"": null,
 ""UncertaintyQualifier"": null,
 ""CausalHint"": null,
 ""LogicalMarker"": null,
 ""OtherQualifier"": null
}","The underside of leaves is a specific surface region of leaves."
"RelR_4c1dea8cfdd7","Can_c8ca5fed","En_3acaf8cb","avoids","protects_from","The subject trait, structure, or behavior reduces harm or risk posed by the threat entity given as the object (e.g., predators, parasites, environmental hazards).","protective_function_relation","CAUSALITY","protective","0.8","Egg stage related to predators via protective laying behavior.","Eggs are laid on underside of leaves to protect them from predators.","Relation primarily to capture the protective intent against predators.","laid on the underside of leaves to protect them from predators.","Ch_000002","{
 ""TemporalQualifier"": ""while in the egg stage"",
 ""SpatialQualifier"": ""when located on underside of leaves"",
 ""OperationalConstraint"": null,
 ""ConditionExpression"": ""eggs are on leaf undersides"",
 ""UncertaintyQualifier"": null,
 ""CausalHint"": ""to protect"",
 ""LogicalMarker"": null,
 ""OtherQualifier"": ""Mechanism: concealed placement reduces predation risk""
}","The egg stage is behaviorally positioned to avoid predators by being laid under leaves."
"RelR_a4e8d959803a","Can_62e205b2","Can_c8ca5fed","determines_traits_of","determines_traits_of","Subject biological taxon determines specific phenotypic traits (e.g., size, shape, color) of the object life stage or structure.","biological_trait_dependency_relation","CAUSALITY","dependency","0.94","Species is causal factor for egg-stage morphological traits.","Size, shape, and color of butterfly eggs vary depending on the species.","","The size, shape, and color of butterfly eggs vary depending on the species.","Ch_000002","{
 ""TemporalQualifier"": null,
 ""SpatialQualifier"": null,
 ""OperationalConstraint"": null,
 ""ConditionExpression"": ""egg size, shape, and color depend on the species"",
 ""UncertaintyQualifier"": null,
 ""CausalHint"": ""depending on"",
 ""LogicalMarker"": null,
 ""OtherQualifier"": ""Traits affected: size, shape, color of eggs""
}","Butterfly species determine variation in the size, shape, and color of eggs."
"RelR_a3d207123c06","Can_ce6366a6","Can_c8ca5fed","has_stage","has_life_cycle_stage","Indicates that a life cycle concept includes a specific life-cycle stage as one of its constituent phases.","life_cycle_stage_relation","COMPOSITION","composition","0.96","Life cycle as whole; egg as one of its stages.","Describes the egg as the initial life stage of a butterfly.","","The initial life stage of a butterfly, during which the organism exists as an egg","Ch_000002","{
 ""TemporalQualifier"": ""initial stage"",
 ""SpatialQualifier"": null,
 ""OperationalConstraint"": null,
 ""ConditionExpression"": ""first in sequence before larval stage"",
 ""UncertaintyQualifier"": null,
 ""CausalHint"": null,
 ""LogicalMarker"": null,
 ""OtherQualifier"": ""StageOrder: 1""
}","The butterfly life cycle includes an egg stage."
