"relation_id","start_id","end_id","raw_relation_name","canonical_rel_name","canonical_rel_desc","rel_cls","rel_cls_group","rel_hint_type","confidence","resolution_context","justification","remark","evidence_excerpt","chunk_id","qualifiers","rel_desc"
"RelR_15d1498558e4","Can_4b5a9fad","Can_b2d53024","is_form_of","is_form_of","Indicates that the subject is a specific form, mode, or sub-type of the broader practice or concept represented by the object.","genre_and_category_relation","IDENTITY","classification","0.96","Direction chosen as specific narrative genre (fairytales) being a form of the broader practice (storytelling).","The text explicitly states that fairytales are 'a beloved form of storytelling', which classifies fairytales as a type of storytelling.","","Fairytales have been a beloved form of storytelling for centuries, captivating audiences of all ages","Ch_000001","{
 ""TemporalQualifier"": ""for centuries"",
 ""SpatialQualifier"": null,
 ""OperationalConstraint"": null,
 ""ConditionExpression"": null,
 ""UncertaintyQualifier"": null,
 ""CausalHint"": null,
 ""LogicalMarker"": null,
 ""OtherQualifier"": ""AudienceScope: audiences of all ages""
}","Fairytales are described as a form or mode of storytelling."
"RelR_06f65f309748","Can_4b5a9fad","Can_a57877a4","engages","engages_audience","A narrative work captures and holds the attention of its audience.","audience_affective_response_relation","AFFECTIVE_EFFECT","effect","0.9","Maps 'audiences of all ages' and 'around the world' to the resolved global audience entity.","The text notes that fairytales are 'captivating audiences of all ages' and that many stories are 'widely known and loved around the world', implying engagement with global audiences.","","captivating audiences of all ages with their magical elements and timeless themes","Ch_000001","{
 ""TemporalQualifier"": ""for centuries"",
 ""SpatialQualifier"": ""around the world"",
 ""OperationalConstraint"": null,
 ""ConditionExpression"": null,
 ""UncertaintyQualifier"": null,
 ""CausalHint"": ""captivating"",
 ""LogicalMarker"": null,
 ""OtherQualifier"": ""AudienceAgeRange: all ages""
}","Fairytales captivate and engage global audiences around the world."
"RelR_e0ed91e1fd3f","Can_4b5a9fad","Can_18215506","features","typically_includes","Indicates that a narrative genre, category, or story type characteristically or commonly includes the given motif, theme, character type, or other narrative element as part of its content.","narrative_content_relation","COMPOSITION","composition","0.97","Treats 'magical elements' as a recurring motif contained within fairytales.","Fairytales are described as captivating audiences 'with their magical elements', indicating that magical elements are standard features of fairytales.","","captivating audiences of all ages with their magical elements and timeless themes","Ch_000001","{
 ""TemporalQualifier"": null,
 ""SpatialQualifier"": null,
 ""OperationalConstraint"": null,
 ""ConditionExpression"": ""commonly/typically present"",
 ""UncertaintyQualifier"": null,
 ""CausalHint"": ""with"",
 ""LogicalMarker"": null,
 ""OtherQualifier"": null
}","Fairytales commonly include magical elements."
"RelR_53e27020e620","Can_4b5a9fad","En_2e3d0dec","features","typically_includes","Indicates that a narrative genre, category, or story type characteristically or commonly includes the given motif, theme, character type, or other narrative element as part of its content.","narrative_content_relation","COMPOSITION","composition","0.95","Timeless themes are treated as narrative motifs embedded within fairytales.","The phrase 'their magical elements and timeless themes' attributes timeless themes as inherent attributes of fairytales.","","with their magical elements and timeless themes.","Ch_000001","{
 ""TemporalQualifier"": ""timeless (enduring across eras)"",
 ""SpatialQualifier"": null,
 ""OperationalConstraint"": null,
 ""ConditionExpression"": ""enduring relevance across ages and cultures"",
 ""UncertaintyQualifier"": null,
 ""CausalHint"": ""and"",
 ""LogicalMarker"": null,
 ""OtherQualifier"": null
}","Fairytales are characterized by timeless themes."
"RelR_8ef2bde9c212","Can_4b5a9fad","En_3128b596","features","typically_includes","Indicates that a narrative genre, category, or story type characteristically or commonly includes the given motif, theme, character type, or other narrative element as part of its content.","narrative_content_relation","COMPOSITION","composition","0.96","Pronoun 'These tales' refers back to fairytales.","The text states 'These tales often feature fantastical creatures', immediately after discussing fairytales, making the reference clear.","","These tales often feature fantastical creatures, heroic protagonists, and moral lessons","Ch_000001","{
 ""TemporalQualifier"": null,
 ""SpatialQualifier"": null,
 ""OperationalConstraint"": null,
 ""ConditionExpression"": ""often"",
 ""UncertaintyQualifier"": null,
 ""CausalHint"": ""feature"",
 ""LogicalMarker"": null,
 ""OtherQualifier"": null
}","Fairytales often include fantastical creatures as part of their stories."
"RelR_3f6cbabae193","Can_4b5a9fad","Can_36a0d65d","features","typically_includes","Indicates that a narrative genre, category, or story type characteristically or commonly includes the given motif, theme, character type, or other narrative element as part of its content.","narrative_content_relation","COMPOSITION","composition","0.96","Same 'These tales' reference to fairytales as narrative units.","The phrase 'often feature ... heroic protagonists' describes a recurrent motif in fairytales.","","These tales often feature fantastical creatures, heroic protagonists, and moral lessons","Ch_000001","{
 ""TemporalQualifier"": null,
 ""SpatialQualifier"": null,
 ""OperationalConstraint"": null,
 ""ConditionExpression"": ""often"",
 ""UncertaintyQualifier"": null,
 ""CausalHint"": ""feature"",
 ""LogicalMarker"": null,
 ""OtherQualifier"": null
}","Fairytales frequently include heroic protagonists."
"RelR_9fa266fae137","Can_4b5a9fad","Can_06f66ada","conveys","conveys_moral_lesson","Narrative works that convey a moral or ethical lesson to the audience through their content.","didactic_function_relation","EPISTEMIC_EFFECT","didactic","0.93","Although phrased as 'feature', the semantic relation is didactic transmission of morals.","The text lists 'moral lessons' among the elements featured in these tales, implying that stories communicate ethics.","Relation name chosen to emphasize didactic function rather than mere inclusion.","These tales often feature ... moral lessons that have been passed down through generations.","Ch_000001","{
 ""TemporalQualifier"": ""passed down through generations"",
 ""SpatialQualifier"": null,
 ""OperationalConstraint"": null,
 ""ConditionExpression"": ""often"",
 ""UncertaintyQualifier"": null,
 ""CausalHint"": ""feature"",
 ""LogicalMarker"": null,
 ""OtherQualifier"": null
}","Fairytales convey moral lessons within their narratives."
"RelR_41df202002c1","Can_06f66ada","Can_e7270c53","transmitted_through","is_transmitted_across_generations","Indicates that an intangible cultural element (e.g., moral lessons, oral traditions, folklore, myths) is passed down across successive generations.","cultural_transmission_relation","TEMPORALITY","transmission","0.94","Direction chosen as content (moral lessons) being transmitted via generations.","The text explicitly states that moral lessons 'have been passed down through generations'.","","moral lessons that have been passed down through generations.","Ch_000001","{
 ""TemporalQualifier"": ""over time (implied historical span)"",
 ""SpatialQualifier"": null,
 ""OperationalConstraint"": null,
 ""ConditionExpression"": null,
 ""UncertaintyQualifier"": null,
 ""CausalHint"": ""passed down"",
 ""LogicalMarker"": ""through"",
 ""OtherQualifier"": null
}","Moral lessons are transmitted through successive generations."
"RelR_053593557786","En_27fb491a","Can_a57877a4","known_and_loved_by","is_beloved_by","Indicates that a narrative work (e.g., story, tale, collection) is widely loved, cherished, or positively received by a particular audience.","audience_affective_response_relation","AFFECTIVE_EFFECT","audience_relation","0.92","Maps 'these stories' and 'around the world' to the resolved story and global audience entities.","The text says 'many of these stories have become widely known and loved around the world', indicating their reception among global audiences.","","many of these stories have become widely known and loved around the world","Ch_000001","{
 ""TemporalQualifier"": null,
 ""SpatialQualifier"": ""around the world"",
 ""OperationalConstraint"": null,
 ""ConditionExpression"": ""many of these stories"",
 ""UncertaintyQualifier"": null,
 ""CausalHint"": ""have become"",
 ""LogicalMarker"": null,
 ""OtherQualifier"": null
}","Individual fairytale stories are widely known and loved by global audiences."
"RelR_a3d0f450a65a","Can_4654f6ef","En_92724ef4","obscured_by","is_obscured_by","Indicates that the subject concept or phenomenon is hidden, obscured, or made unclear by the object factor.","narrative_attribute_relation","ATTRIBUTE","descriptive","0.9","Direction chosen as origins being affected by the state of mystery.","The text claims 'the origins of these famous fairytales are often shrouded in mystery', directly relating origins and mystery.","","the origins of these famous fairytales are often shrouded in mystery","Ch_000001","{
 ""TemporalQualifier"": ""often"",
 ""SpatialQualifier"": null,
 ""OperationalConstraint"": null,
 ""ConditionExpression"": ""often shrouded (frequent but not universal)"",
 ""UncertaintyQualifier"": null,
 ""CausalHint"": ""shrouded in"",
 ""LogicalMarker"": null,
 ""OtherQualifier"": null
}","The origins of famous fairytales are obscured or hidden by mystery."
